record,delta_tau,delta_excess3,delta_var,delta_ar1,sign_tau,sign_excess3,sign_var,sign_ar1,tau_excess3_concordant,tau_var_concordant,lead_time_tau_h,lead_time_excess3_h,lead_time_var_h,lead_time_ar1_h,alarmed_tau,alarmed_excess3,alarmed_var,alarmed_ar1,p_tau,p_excess3,p_tau_surrogate,interp_frac,pacing_detected
30,-0.027423356580893135,-0.011776582983538952,1410.53302902603,-0.2914104301159033,-1.0,-1.0,1.0,-1.0,1,0,4.354742296006945,3.066657986111111,4.211653374565972,3.5753065321180557,1.0,1.0,1.0,1.0,3.6777221736144478e-19,7.682131118852788e-78,0.0,0.0038662494625896215,False
31,-9.349974516323009e-05,-0.0220719453443734,191.48129459999745,-0.09936224852945483,-1.0,-1.0,1.0,-1.0,1,0,5.889453667534722,6.913733723958333,0.25617404513888964,6.8583403862847225,1.0,1.0,1.0,1.0,0.9704765658600156,1.0746276067406643e-222,0.25,0.0042551844380795956,False
32,-0.023924549928001432,-0.008836255836902174,-204.00245690791593,0.014273536398571152,-1.0,-1.0,-1.0,1.0,1,1,6.839100477430554,6.851371527777777,5.209826388888889,6.196688368055554,1.0,1.0,1.0,1.0,2.094703151783277e-43,5.0730510060526026e-108,0.0,0.05216236039996147,True
35,0.015770582557985996,0.003562562274778913,3097.381778198236,-0.04477785062191464,1.0,1.0,1.0,-1.0,1,1,7.853511284722224,7.963093532986111,7.684949001736111,6.149198133680557,1.0,1.0,1.0,1.0,7.182980310521212e-26,3.1615330769062365e-29,0.0,0.00985695980489254,False
36,0.07856955373421465,0.008046411435872036,-3004.640482064464,0.03308961611568641,1.0,1.0,-1.0,1.0,1,0,5.669826388888888,6.689082031249999,6.405977647569443,6.595481770833331,1.0,1.0,1.0,1.0,3.29302590518895e-148,1.0029566008836096e-17,0.0,0.0009182261419482529,False
38,0.08764067003788589,0.04136392657164961,26403.545544771194,0.09737129228651584,1.0,1.0,1.0,1.0,1,1,4.187085503472222,4.205191243489583,3.5016455078124995,3.549726562499999,1.0,1.0,1.0,1.0,3.4226756274874204e-294,0.0,0.0,0.061252184212207794,False
45,0.006628134835075683,0.004328245928255425,-201.48532414233796,0.12431853902678469,1.0,1.0,-1.0,1.0,1,0,5.874262152777778,6.8739203559027775,5.847591145833334,5.864235026041667,1.0,1.0,1.0,1.0,0.02437689706451605,0.003092644947482953,0.25,0.0038734276313334703,False
47,-0.0025595055779095016,0.029961137504353308,33474.45162072332,-0.5796647717640514,-1.0,1.0,1.0,-1.0,0,0,2.4655688476562503,2.7156689453125002,2.716254340277778,2.716254340277778,1.0,1.0,1.0,1.0,0.4065939077021263,4.3245073078131786e-68,0.25,0.0017562384018674493,False
50,0.07224213389545515,-0.0033493294742307778,33714.43649652749,0.05218109076196706,1.0,-1.0,1.0,1.0,0,1,6.441864691840277,6.939881184895833,2.8169135199652775,6.073398980034721,1.0,1.0,1.0,1.0,4.793918153161111e-77,0.000918332988859114,0.0,0.010692107491195202,False
51,-0.056892007525461086,-0.03224104380417936,-687.9255022260113,0.05853110076110801,-1.0,-1.0,-1.0,1.0,1,1,6.737146267361108,6.890317925347222,3.580112847222221,4.271486545138888,1.0,1.0,1.0,1.0,6.874584270988857e-28,0.0,0.0,0.0004362833860795945,True
