source_db,record_id,metric,is_control,total_hours_used,basal_start,basal_end,z_threshold,min_consecutive,theta3,high_threshold,W_TAU,stride,n_episodes,first_alarm_hr,search_hours,alarmed,basal_mean,basal_std
nsrdb,16265,tau_s,1,11.99993923611111,0.25,2.0,2.0,3,0.08,0.65,101,5,15.0,2.0523914930555556,9.99993923611111,1.0,0.15908446128261325,0.09494030314426145
nsrdb,16265,excess3,1,11.99993923611111,0.25,2.0,2.0,3,0.08,0.65,101,5,18.0,2.196775173611111,9.99993923611111,1.0,0.25645967274442105,0.03192611133819913
nsrdb,16272,tau_s,1,11.999739583333334,0.25,2.0,2.0,3,0.08,0.65,101,5,16.0,2.040835503472222,9.999739583333334,1.0,0.03322457245724573,0.08335131820032989
nsrdb,16272,excess3,1,11.999739583333334,0.25,2.0,2.0,3,0.08,0.65,101,5,12.0,2.031430121527778,9.999739583333334,1.0,0.275982300172622,0.038459286310508975
nsrdb,16273,tau_s,1,11.999830729166666,0.25,2.0,2.0,3,0.08,0.65,101,5,13.0,2.911779513888889,9.999830729166666,1.0,0.003688891853055484,0.1304580933384595
nsrdb,16273,excess3,1,11.999830729166666,0.25,2.0,2.0,3,0.08,0.65,101,5,8.0,3.0125086805555554,9.999830729166666,1.0,0.33215511169189504,0.05937792734232393
nsrdb,16420,tau_s,1,11.999867621527779,0.25,2.0,2.0,3,0.08,0.65,101,5,10.0,2.178591579861111,9.999867621527779,1.0,-0.02306895993337651,0.13753503063492312
nsrdb,16420,excess3,1,11.999867621527779,0.25,2.0,2.0,3,0.08,0.65,101,5,7.0,2.0237326388888888,9.999867621527779,1.0,0.31224278908602066,0.06490217461908018
nsrdb,16483,tau_s,1,11.999934895833333,0.25,2.0,2.0,3,0.08,0.65,101,5,18.0,2.055475260416667,9.999934895833333,1.0,0.08838180223085601,0.08106166844150663
nsrdb,16483,excess3,1,11.999934895833333,0.25,2.0,2.0,3,0.08,0.65,101,5,13.0,2.0799544270833334,9.999934895833333,1.0,0.2925771118325478,0.04504530388224716
nsrdb,16539,tau_s,1,11.999945746527779,0.25,2.0,2.0,3,0.08,0.65,101,5,14.0,2.1512521701388887,9.999945746527779,1.0,0.28270557582073996,0.10475986565131587
nsrdb,16539,excess3,1,11.999945746527779,0.25,2.0,2.0,3,0.08,0.65,101,5,14.0,2.4510980902777777,9.999945746527779,1.0,0.32696485456489255,0.0621589503255261
nsrdb,16773,tau_s,1,11.999856770833333,0.25,2.0,2.0,3,0.08,0.65,101,5,16.0,2.093450520833333,9.999856770833333,1.0,0.11780524897614045,0.08573835561392441
nsrdb,16773,excess3,1,11.999856770833333,0.25,2.0,2.0,3,0.08,0.65,101,5,18.0,2.09529296875,9.999856770833333,1.0,0.2429527279739688,0.029866773422222617
nsrdb,16786,tau_s,1,11.999967447916667,0.25,2.0,2.0,3,0.08,0.65,101,5,12.0,2.067421875,9.999967447916667,1.0,-0.004616304487591616,0.11273839013471386
nsrdb,16786,excess3,1,11.999967447916667,0.25,2.0,2.0,3,0.08,0.65,101,5,12.0,2.090896267361111,9.999967447916667,1.0,0.26986427664402446,0.04478329770935005
nsrdb,16795,tau_s,1,11.99980685763889,0.25,2.0,2.0,3,0.08,0.65,101,5,8.0,3.324826388888889,9.99980685763889,1.0,0.06023262866827224,0.1262962423580899
nsrdb,16795,excess3,1,11.99980685763889,0.25,2.0,2.0,3,0.08,0.65,101,5,13.0,2.020718315972222,9.99980685763889,1.0,0.2792100114519919,0.04305329516193889
nsrdb,17052,tau_s,1,11.999793836805555,0.25,2.0,2.0,3,0.08,0.65,101,5,12.0,2.483159722222222,9.999793836805555,1.0,0.2168488030359232,0.11609444058786912
nsrdb,17052,excess3,1,11.999793836805555,0.25,2.0,2.0,3,0.08,0.65,101,5,12.0,2.639279513888889,9.999793836805555,1.0,0.30612245871643023,0.04683934727263882
nsrdb,17453,tau_s,1,11.999845920138888,0.25,2.0,2.0,3,0.08,0.65,101,5,10.0,2.7635677083333334,9.999845920138888,1.0,0.07575331027078612,0.09943774718544207
nsrdb,17453,excess3,1,11.999845920138888,0.25,2.0,2.0,3,0.08,0.65,101,5,16.0,2.140607638888889,9.999845920138888,1.0,0.2664463227278603,0.03551048373426947
nsrdb,18177,tau_s,1,11.999874131944445,0.25,2.0,2.0,3,0.08,0.65,101,5,19.0,2.0935546875,9.999874131944445,1.0,0.19437337084914927,0.08704220631110726
nsrdb,18177,excess3,1,11.999874131944445,0.25,2.0,2.0,3,0.08,0.65,101,5,13.0,2.011052517361111,9.999874131944445,1.0,0.27999808196910325,0.03713603176550955
nsrdb,18184,tau_s,1,11.999989149305556,0.25,2.0,2.0,3,0.08,0.65,101,5,12.0,2.087384982638889,9.999989149305556,1.0,0.11695842948244309,0.10605248852104826
nsrdb,18184,excess3,1,11.999989149305556,0.25,2.0,2.0,3,0.08,0.65,101,5,14.0,2.0547526041666666,9.999989149305556,1.0,0.2732596418647323,0.0375516928322136
nsrdb,19088,tau_s,1,12.0,0.25,2.0,2.0,3,0.08,0.65,101,5,14.0,2.36984375,10.0,1.0,0.10438558052047377,0.09644496879552844
nsrdb,19088,excess3,1,12.0,0.25,2.0,2.0,3,0.08,0.65,101,5,13.0,2.1165473090277778,10.0,1.0,0.26514589758124985,0.03745383155752475
nsrdb,19090,tau_s,1,11.999791666666667,0.25,2.0,2.0,3,0.08,0.65,101,5,16.0,3.1130403645833336,9.999791666666667,1.0,-0.004701498687324145,0.08747468185791168
