source,record,event_label,duration_stratum,event_hr,basal_start,basal_end,approach_start,approach_end,path,detector,collapse_role,L,theta_delta_S,theta_R,basal_mode,basal_q,mad_kappa,hop,n_symbols,basal_idx_start,basal_idx_end,search_start_idx,search_end_idx,alarmed,lead_time_h,detection_hr,first_alarm_idx,n_alarm_samples_search,n_core_alarm_samples_search,mean_S_approach,mean_D_approach,frac_low_div_approach,frac_high_syn_approach,error
sddb,30,SDDB,holter_analytic,7.909166666666667,0.5,3.5,4.909166666666667,7.909166666666667,rr_30_clean.npz,R0_I0_ref,none,50,0.08,5,mean_delta,,,1,128805,2266,14785,14785,35224,1,4.226659884982639,3.682506781684028,15737,392,392,0.4050304516718714,0.5700527246722692,0.0,0.04493868535303527,
sddb,30,SDDB,holter_analytic,7.909166666666667,0.5,3.5,4.909166666666667,7.909166666666667,rr_30_clean.npz,R1_hop,none,50,0.08,3,mean_delta,,,25,128805,2266,14785,14785,35224,1,0.36535101996527786,7.543815646701389,33735,3,3,0.4050304516718714,0.5700527246722692,0.0,0.04493868535303527,
sddb,30,SDDB,holter_analytic,7.909166666666667,0.5,3.5,4.909166666666667,7.909166666666667,rr_30_clean.npz,R2_basal_q90,none,50,,5,percentile,90.0,,1,128805,2266,14785,14785,35224,1,4.226659884982639,3.682506781684028,15737,486,486,0.4050304516718714,0.5700527246722692,0.0,0.055602102216467365,
sddb,30,SDDB,holter_analytic,7.909166666666667,0.5,3.5,4.909166666666667,7.909166666666667,rr_30_clean.npz,R3_basal_mad,none,50,,5,mad,,2.5,1,128805,2266,14785,14785,35224,1,0.37776204427083293,7.531404622395834,33684,20,20,0.4050304516718714,0.5700527246722692,0.0,0.001980348846065961,
sddb,30,SDDB,holter_analytic,7.909166666666667,0.5,3.5,4.909166666666667,7.909166666666667,rr_30_clean.npz,R4_combo,none,50,,3,percentile,90.0,,25,128805,2266,14785,14785,35224,1,0.36535101996527786,7.543815646701389,33735,3,3,0.4050304516718714,0.5700527246722692,0.0,0.055602102216467365,
sddb,30,SDDB,holter_analytic,7.909166666666667,0.5,3.5,4.909166666666667,7.909166666666667,rr_30_clean.npz,R5_combo_Ls100,none,100,,3,percentile,90.0,,50,128805,2266,14785,14785,35224,0,nan,nan,,0,0,0.3644408256531343,0.6710187794619206,0.0,0.029781399954299643,
sddb,31,SDDB,holter_analytic,13.966329210069444,3.9663292100694445,6.9663292100694445,10.966329210069444,13.966329210069444,rr_31_clean.npz,R0_I0_ref,none,50,0.08,5,mean_delta,,,1,63215,18047,31527,31527,63214,1,6.9843934461805555,6.981935763888889,31604,2904,2904,0.4119486703383163,0.522550048081126,0.003068450039339103,0.06034618410700236,
sddb,31,SDDB,holter_analytic,13.966329210069444,3.9663292100694445,6.9663292100694445,10.966329210069444,13.966329210069444,rr_31_clean.npz,R1_hop,none,50,0.08,3,mean_delta,,,25,63215,18047,31527,31527,63214,1,6.919151475694444,7.047177734375,31927,19,19,0.4119486703383163,0.522550048081126,0.003068450039339103,0.06034618410700236,
sddb,31,SDDB,holter_analytic,13.966329210069444,3.9663292100694445,6.9663292100694445,10.966329210069444,13.966329210069444,rr_31_clean.npz,R2_basal_q90,none,50,,5,percentile,90.0,,1,63215,18047,31527,31527,63214,1,6.9843934461805555,6.981935763888889,31604,2941,2941,0.4119486703383163,0.522550048081126,0.003068450039339103,0.06113296616837136,
sddb,31,SDDB,holter_analytic,13.966329210069444,3.9663292100694445,6.9663292100694445,10.966329210069444,13.966329210069444,rr_31_clean.npz,R3_basal_mad,none,50,,5,mad,,2.5,1,63215,18047,31527,31527,63214,1,6.9634716796875,7.002857530381944,31707,983,983,0.4119486703383163,0.522550048081126,0.003068450039339103,0.011408339889850511,
sddb,31,SDDB,holter_analytic,13.966329210069444,3.9663292100694445,6.9663292100694445,10.966329210069444,13.966329210069444,rr_31_clean.npz,R4_combo,none,50,,3,percentile,90.0,,25,63215,18047,31527,31527,63214,1,6.919151475694444,7.047177734375,31927,19,19,0.4119486703383163,0.522550048081126,0.003068450039339103,0.06113296616837136,
sddb,31,SDDB,holter_analytic,13.966329210069444,3.9663292100694445,6.9663292100694445,10.966329210069444,13.966329210069444,rr_31_clean.npz,R5_combo_Ls100,none,100,,3,percentile,90.0,,50,63215,18047,31527,31527,63214,1,4.983611653645834,8.98271755642361,41327,3,3,0.37758436664044065,0.6269735116706006,0.0,0.04044059795436664,
sddb,32,SDDB,holter_analytic,16.755,6.754999999999999,9.754999999999999,13.754999999999999,16.755,rr_32_clean.npz,R0_I0_ref,none,50,0.08,5,mean_delta,,,1,127197,34411,49576,49576,83947,1,6.972408854166666,9.782591145833333,49714,448,448,0.39855276832887027,0.5164792968404462,0.0015922414417022508,0.025837736122168345,
sddb,32,SDDB,holter_analytic,16.755,6.754999999999999,9.754999999999999,13.754999999999999,16.755,rr_32_clean.npz,R1_hop,none,50,0.08,3,mean_delta,,,25,127197,34411,49576,49576,83947,0,nan,nan,,0,0,0.39855276832887027,0.5164792968404462,0.0015922414417022508,0.025837736122168345,
sddb,32,SDDB,holter_analytic,16.755,6.754999999999999,9.754999999999999,13.754999999999999,16.755,rr_32_clean.npz,R2_basal_q90,none,50,,5,percentile,90.0,,1,127197,34411,49576,49576,83947,1,6.972606336805555,9.782393663194444,49713,1341,1341,0.39855276832887027,0.5164792968404462,0.0015922414417022508,0.06955200115799377,
sddb,32,SDDB,holter_analytic,16.755,6.754999999999999,9.754999999999999,13.754999999999999,16.755,rr_32_clean.npz,R3_basal_mad,none,50,,5,mad,,2.5,1,127197,34411,49576,49576,83947,1,6.656355251736111,10.098644748263888,51340,5,5,0.39855276832887027,0.5164792968404462,0.0015922414417022508,0.0011579937757834552,
