source,record,event_label,duration_stratum,event_hr,basal_start,basal_end,approach_start,approach_end,path,detector,collapse_role,L,theta_delta_S,theta_R,n_symbols,basal_idx_start,basal_idx_end,search_start_idx,search_end_idx,alarmed,lead_time_h,detection_hr,first_alarm_idx,n_alarm_samples_search,n_core_alarm_samples_search,mean_S_approach,mean_D_approach,frac_low_div_approach,frac_high_syn_approach,error
sddb,30,SDDB,holter_analytic,7.909166666666667,0.5,3.5,4.909166666666667,7.909166666666667,rr_30_clean.npz,I0_dS0.08_R5,none,50,0.08,5,128805,2266,14785,14785,35224,1,4.226659884982639,3.682506781684028,15737,392,392,0.4050304516718714,0.5700527246722692,0.0,0.04493868535303527,
sddb,30,SDDB,holter_analytic,7.909166666666667,0.5,3.5,4.909166666666667,7.909166666666667,rr_30_clean.npz,I0_dS0.08_R8,none,50,0.08,8,128805,2266,14785,14785,35224,1,4.226146647135417,3.68302001953125,15740,290,290,0.4050304516718714,0.5700527246722692,0.0,0.04493868535303527,
sddb,30,SDDB,holter_analytic,7.909166666666667,0.5,3.5,4.909166666666667,7.909166666666667,rr_30_clean.npz,I0_dS0.08_R10,none,50,0.08,10,128805,2266,14785,14785,35224,1,4.225824381510417,3.68334228515625,15742,244,244,0.4050304516718714,0.5700527246722692,0.0,0.04493868535303527,
sddb,30,SDDB,holter_analytic,7.909166666666667,0.5,3.5,4.909166666666667,7.909166666666667,rr_30_clean.npz,I0_dS0.08_R12,none,50,0.08,12,128805,2266,14785,14785,35224,1,4.225464409722222,3.6837022569444446,15744,204,204,0.4050304516718714,0.5700527246722692,0.0,0.04493868535303527,
sddb,30,SDDB,holter_analytic,7.909166666666667,0.5,3.5,4.909166666666667,7.909166666666667,rr_30_clean.npz,I0_dS0.10_R5,none,50,0.1,5,128805,2266,14785,14785,35224,1,4.225288899739583,3.6838777669270835,15745,121,121,0.4050304516718714,0.5700527246722692,0.0,0.017061466981491354,
sddb,30,SDDB,holter_analytic,7.909166666666667,0.5,3.5,4.909166666666667,7.909166666666667,rr_30_clean.npz,I0_dS0.10_R8,none,50,0.1,8,128805,2266,14785,14785,35224,1,3.8160066731770836,4.093159993489583,18006,84,84,0.4050304516718714,0.5700527246722692,0.0,0.017061466981491354,
sddb,30,SDDB,holter_analytic,7.909166666666667,0.5,3.5,4.909166666666667,7.909166666666667,rr_30_clean.npz,I0_dS0.10_R10,none,50,0.1,10,128805,2266,14785,14785,35224,1,3.8156377495659726,4.093528917100694,18008,69,69,0.4050304516718714,0.5700527246722692,0.0,0.017061466981491354,
sddb,30,SDDB,holter_analytic,7.909166666666667,0.5,3.5,4.909166666666667,7.909166666666667,rr_30_clean.npz,I0_dS0.10_R12,none,50,0.1,12,128805,2266,14785,14785,35224,1,1.6498133680555558,6.259353298611111,28279,58,58,0.4050304516718714,0.5700527246722692,0.0,0.017061466981491354,
sddb,30,SDDB,holter_analytic,7.909166666666667,0.5,3.5,4.909166666666667,7.909166666666667,rr_30_clean.npz,I0_dS0.12_R5,none,50,0.12,5,128805,2266,14785,14785,35224,1,1.6508512369791664,6.2583154296875,28275,48,48,0.4050304516718714,0.5700527246722692,0.0,0.005864879274887653,
sddb,30,SDDB,holter_analytic,7.909166666666667,0.5,3.5,4.909166666666667,7.909166666666667,rr_30_clean.npz,I0_dS0.12_R8,none,50,0.12,8,128805,2266,14785,14785,35224,1,1.650068901909722,6.259097764756945,28278,42,42,0.4050304516718714,0.5700527246722692,0.0,0.005864879274887653,
