record_id,source_path,skipped,skip_reason,detector,collapse_role,total_hours_used,basal_start,basal_end,search_start,search_end,refractory_h,n_symbols,basal_idx_start,basal_idx_end,L,theta_delta_S,theta_R,n_episodes,search_hours,first_alarm_hr,alarmed,far_per_24h,error
16265,nsrdb_16265_clean.npz,False,,I0,none,11.99993923611111,0.25,2.0,2.0,11.99993923611111,0.5,61579,1455,10444,50,0.08,5,17.0,9.99993923611111,2.163365885416667,1.0,40.80024791817311,
16265,nsrdb_16265_clean.npz,False,,I-mod,modulate,11.99993923611111,0.25,2.0,2.0,11.99993923611111,0.5,61579,1455,10444,50,0.08,5,17.0,9.99993923611111,2.163365885416667,1.0,40.80024791817311,
16265,nsrdb_16265_clean.npz,False,,I-confirm,confirm,11.99993923611111,0.25,2.0,2.0,11.99993923611111,0.5,61579,1455,10444,50,0.12,8,0.0,9.99993923611111,nan,0.0,0.0,
16265,nsrdb_16265_clean.npz,False,,OPS-S1,n/a,11.99993923611111,0.25,2.0,2.0,11.99993923611111,0.5,61579,1455,10444,50,0.08,5,17.0,9.99993923611111,2.163365885416667,1.0,40.80024791817311,
16272,nsrdb_16272_clean.npz,False,,I0,none,11.999739583333334,0.25,2.0,2.0,11.999739583333334,0.5,44722,931,7090,50,0.08,5,16.0,9.999739583333334,2.265881076388889,1.0,38.40100002604235,
16272,nsrdb_16272_clean.npz,False,,I-mod,modulate,11.999739583333334,0.25,2.0,2.0,11.999739583333334,0.5,44722,931,7090,50,0.08,5,16.0,9.999739583333334,2.265881076388889,1.0,38.40100002604235,
16272,nsrdb_16272_clean.npz,False,,I-confirm,confirm,11.999739583333334,0.25,2.0,2.0,11.999739583333334,0.5,44722,931,7090,50,0.12,8,0.0,9.999739583333334,nan,0.0,0.0,
16272,nsrdb_16272_clean.npz,False,,OPS-S1,n/a,11.999739583333334,0.25,2.0,2.0,11.999739583333334,0.5,44722,931,7090,50,0.08,5,16.0,9.999739583333334,2.265881076388889,1.0,38.40100002604235,
16273,nsrdb_16273_clean.npz,False,,I0,none,11.999830729166666,0.25,2.0,2.0,11.999830729166666,0.5,56188,1389,9557,50,0.08,5,17.0,9.999830729166666,2.2919661458333334,1.0,40.80069063669047,
16273,nsrdb_16273_clean.npz,False,,I-mod,modulate,11.999830729166666,0.25,2.0,2.0,11.999830729166666,0.5,56188,1389,9557,50,0.08,5,17.0,9.999830729166666,2.2919661458333334,1.0,40.80069063669047,
16273,nsrdb_16273_clean.npz,False,,I-confirm,confirm,11.999830729166666,0.25,2.0,2.0,11.999830729166666,0.5,56188,1389,9557,50,0.12,8,1.0,9.999830729166666,10.101276041666667,1.0,2.4000406256876747,
16273,nsrdb_16273_clean.npz,False,,OPS-S1,n/a,11.999830729166666,0.25,2.0,2.0,11.999830729166666,0.5,56188,1389,9557,50,0.08,5,17.0,9.999830729166666,2.2919661458333334,1.0,40.80069063669047,
16420,nsrdb_16420_clean.npz,False,,I0,none,11.999867621527779,0.25,2.0,2.0,11.999867621527779,0.5,60906,1296,9858,50,0.08,5,17.0,9.999867621527779,2.019331597222222,1.0,40.80054011131657,
16420,nsrdb_16420_clean.npz,False,,I-mod,modulate,11.999867621527779,0.25,2.0,2.0,11.999867621527779,0.5,60906,1296,9858,50,0.08,5,17.0,9.999867621527779,2.019331597222222,1.0,40.80054011131657,
16420,nsrdb_16420_clean.npz,False,,I-confirm,confirm,11.999867621527779,0.25,2.0,2.0,11.999867621527779,0.5,60906,1296,9858,50,0.12,8,6.0,9.999867621527779,2.0230729166666666,1.0,14.400190627523497,
16420,nsrdb_16420_clean.npz,False,,OPS-S1,n/a,11.999867621527779,0.25,2.0,2.0,11.999867621527779,0.5,60906,1296,9858,50,0.08,5,17.0,9.999867621527779,2.019331597222222,1.0,40.80054011131657,
16483,nsrdb_16483_clean.npz,False,,I0,none,11.999934895833333,0.25,2.0,2.0,11.999934895833333,0.5,63855,1336,11212,50,0.08,5,17.0,9.999934895833333,2.1264778645833333,1.0,40.80026562672934,
16483,nsrdb_16483_clean.npz,False,,I-mod,modulate,11.999934895833333,0.25,2.0,2.0,11.999934895833333,0.5,63855,1336,11212,50,0.08,5,17.0,9.999934895833333,2.1264778645833333,1.0,40.80026562672934,
