source,record,event_label,duration_stratum,event_hr,basal_start,basal_end,approach_start,approach_end,path,detector,collapse_role,L,theta_delta_S,theta_R,n_symbols,basal_idx_start,basal_idx_end,search_start_idx,search_end_idx,alarmed,lead_time_h,detection_hr,first_alarm_idx,n_alarm_samples_search,n_core_alarm_samples_search,mean_S_approach,mean_D_approach,frac_low_div_approach,frac_high_syn_approach,error
sddb,30,SDDB,holter_analytic,7.909166666666667,0.5,3.5,4.909166666666667,7.909166666666667,rr_30_clean.npz,I0,none,50,0.08,5,128805,2266,14785,14785,35224,1,4.226659884982639,3.682506781684028,15737,392,392,0.4050304516718714,0.5700527246722692,0.0,0.04493868535303527,
sddb,30,SDDB,holter_analytic,7.909166666666667,0.5,3.5,4.909166666666667,7.909166666666667,rr_30_clean.npz,I-mod,modulate,50,0.08,5,128805,2266,14785,14785,35224,1,4.226659884982639,3.682506781684028,15737,392,392,0.4050304516718714,0.5700527246722692,0.0,0.04493868535303527,
sddb,30,SDDB,holter_analytic,7.909166666666667,0.5,3.5,4.909166666666667,7.909166666666667,rr_30_clean.npz,I-confirm,confirm,50,0.12,8,128805,2266,14785,14785,35224,0,nan,nan,,0,42,0.4050304516718714,0.5700527246722692,0.0,0.005864879274887653,
sddb,30,SDDB,holter_analytic,7.909166666666667,0.5,3.5,4.909166666666667,7.909166666666667,rr_30_clean.npz,OPS-S1,n/a,50,0.08,5,128805,2266,14785,14785,35224,1,4.226659884982639,3.682506781684028,15737,392,392,0.4050304516718714,nan,nan,0.04493868535303527,
sddb,31,SDDB,holter_analytic,13.966329210069444,3.9663292100694445,6.9663292100694445,10.966329210069444,13.966329210069444,rr_31_clean.npz,I0,none,50,0.08,5,63215,18047,31527,31527,63214,1,6.9843934461805555,6.981935763888889,31604,2904,2904,0.4119486703383163,0.522550048081126,0.003068450039339103,0.06034618410700236,
sddb,31,SDDB,holter_analytic,13.966329210069444,3.9663292100694445,6.9663292100694445,10.966329210069444,13.966329210069444,rr_31_clean.npz,I-mod,modulate,50,0.08,5,63215,18047,31527,31527,63214,1,6.9843934461805555,6.981935763888889,31604,2913,2913,0.4119486703383163,0.522550048081126,0.003068450039339103,0.06034618410700236,
sddb,31,SDDB,holter_analytic,13.966329210069444,3.9663292100694445,6.9663292100694445,10.966329210069444,13.966329210069444,rr_31_clean.npz,I-confirm,confirm,50,0.12,8,63215,18047,31527,31527,63214,1,6.963069118923611,7.003260091145833,31709,577,1248,0.4119486703383163,0.522550048081126,0.003068450039339103,0.02069236821400472,
sddb,31,SDDB,holter_analytic,13.966329210069444,3.9663292100694445,6.9663292100694445,10.966329210069444,13.966329210069444,rr_31_clean.npz,OPS-S1,n/a,50,0.08,5,63215,18047,31527,31527,63214,1,6.9843934461805555,6.981935763888889,31604,2904,2904,0.4119486703383163,nan,nan,0.06034618410700236,
sddb,32,SDDB,holter_analytic,16.755,6.754999999999999,9.754999999999999,13.754999999999999,16.755,rr_32_clean.npz,I0,none,50,0.08,5,127197,34411,49576,49576,83947,1,6.972408854166666,9.782591145833333,49714,448,448,0.39855276832887027,0.5164792968404462,0.0015922414417022508,0.025837736122168345,
sddb,32,SDDB,holter_analytic,16.755,6.754999999999999,9.754999999999999,13.754999999999999,16.755,rr_32_clean.npz,I-mod,modulate,50,0.08,5,127197,34411,49576,49576,83947,1,6.972408854166666,9.782591145833333,49714,460,460,0.39855276832887027,0.5164792968404462,0.0015922414417022508,0.026561482232033,
sddb,32,SDDB,holter_analytic,16.755,6.754999999999999,9.754999999999999,13.754999999999999,16.755,rr_32_clean.npz,I-confirm,confirm,50,0.12,8,127197,34411,49576,49576,83947,0,nan,nan,,0,0,0.39855276832887027,0.5164792968404462,0.0015922414417022508,0.0010132445538105232,
sddb,32,SDDB,holter_analytic,16.755,6.754999999999999,9.754999999999999,13.754999999999999,16.755,rr_32_clean.npz,OPS-S1,n/a,50,0.08,5,127197,34411,49576,49576,83947,1,6.972408854166666,9.782591145833333,49714,448,448,0.39855276832887027,nan,nan,0.025837736122168345,
sddb,35,SDDB,holter_analytic,23.999811197916667,6.0,16.0,20.999811197916667,23.999811197916667,rr_35_clean.npz,I0,none,50,0.08,5,100739,26896,70334,70334,100738,1,7.865148654513888,16.13466254340278,70822,494,494,0.43884179104477616,0.5743587204937172,0.0,0.03282096977797579,
sddb,35,SDDB,holter_analytic,23.999811197916667,6.0,16.0,20.999811197916667,23.999811197916667,rr_35_clean.npz,I-mod,modulate,50,0.08,5,100739,26896,70334,70334,100738,1,7.865148654513888,16.13466254340278,70822,494,494,0.43884179104477616,0.5743587204937172,0.0,0.03282096977797579,
