source,record,cascade,opc_L50,sdd,absz,vs_opc_gained,vs_opc_lost,vs_sdd_gained,vs_sdd_lost,vs_absz_gained,vs_absz_lost
sddb,30,0,0,1,1,0,0,0,1,0,1
sddb,31,1,1,1,1,0,0,0,0,0,0
sddb,32,1,1,1,1,0,0,0,0,0,0
sddb,35,0,0,1,1,0,0,0,1,0,1
sddb,36,1,1,1,1,0,0,0,0,0,0
sddb,38,1,1,1,1,0,0,0,0,0,0
sddb,45,0,0,1,1,0,0,0,1,0,1
sddb,47,1,1,1,1,0,0,0,0,0,0
sddb,50,0,0,1,1,0,0,0,1,0,1
sddb,51,0,0,1,1,0,0,0,1,0,1
sddb,44,1,1,1,1,0,0,0,0,0,0
vfdb,418,1,1,1,1,0,0,0,0,0,0
vfdb,419,0,1,0,0,0,1,0,0,0,0
vfdb,420,0,0,1,1,0,0,0,1,0,1
vfdb,421,0,0,1,1,0,0,0,1,0,1
vfdb,422,1,1,1,1,0,0,0,0,0,0
vfdb,423,0,0,1,1,0,0,0,1,0,1
vfdb,424,0,0,1,1,0,0,0,1,0,1
vfdb,425,0,0,1,1,0,0,0,1,0,1
vfdb,426,0,0,1,1,0,0,0,1,0,1
vfdb,427,0,0,1,1,0,0,0,1,0,1
vfdb,428,0,0,1,1,0,0,0,1,0,1
vfdb,429,0,0,1,1,0,0,0,1,0,1
vfdb,430,1,1,1,1,0,0,0,0,0,0
vfdb,602,0,0,1,1,0,0,0,1,0,1
vfdb,605,0,0,1,1,0,0,0,1,0,1
vfdb,607,0,0,1,0,0,0,0,1,0,0
vfdb,609,0,0,1,1,0,0,0,1,0,1
vfdb,610,1,1,1,1,0,0,0,0,0,0
vfdb,611,1,1,1,1,0,0,0,0,0,0
vfdb,612,1,1,1,1,0,0,0,0,0,0
vfdb,614,1,1,1,1,0,0,0,0,0,0
vfdb,615,0,0,1,0,0,0,0,1,0,0
