source,record,event_label,duration_stratum,event_hr,basal_start,basal_end,approach_start,approach_end,n_symbols,K,encoding,L,theta_D,theta_R,alarmed,lead_time_h,detection_hr,first_alarm_idx,search_start_idx,search_end_idx,mean_D_approach,min_D_approach,frac_low_div_approach,basal_n,basal_alarm_count,basal_alarm_frac,L_note
sddb,30,SDDB,holter_analytic,7.909166666666667,0.5,3.5,4.909166666666667,7.909166666666667,128805,36,joint_bivariate_BP_m3,50,0.35,5,0,nan,nan,,14785,35224,0.5700527246722692,0.3611111111111111,0.0,12519.0,0.0,0.0,scale_companion_L50
sddb,31,SDDB,holter_analytic,13.966329210069444,3.9663292100694445,6.9663292100694445,10.966329210069444,13.966329210069444,63215,36,joint_bivariate_BP_m3,50,0.35,5,1,6.961838107638889,7.004491102430555,31715,31527,63214,0.522550048081126,0.19444444444444445,0.003068450039339103,13480.0,240.0,0.017804154302670624,scale_companion_L50
sddb,32,SDDB,holter_analytic,16.755,6.754999999999999,9.754999999999999,13.754999999999999,16.755,127197,36,joint_bivariate_BP_m3,50,0.35,5,1,3.4144021267361104,13.340597873263889,68005,49576,83947,0.5164792968404462,0.3055555555555556,0.0015922414417022508,15165.0,44.0,0.0029014177382129906,scale_companion_L50
sddb,35,SDDB,holter_analytic,23.999811197916667,6.0,16.0,20.999811197916667,23.999811197916667,100739,36,joint_bivariate_BP_m3,50,0.35,5,0,nan,nan,,70334,100738,0.5743587204937172,0.3888888888888889,0.0,43438.0,0.0,0.0,scale_companion_L50
sddb,36,SDDB,holter_analytic,18.98361111111111,8.98361111111111,11.98361111111111,15.98361111111111,18.98361111111111,77321,36,joint_bivariate_BP_m3,50,0.35,5,1,6.282588975694443,12.701022135416666,47825,45195,71963,0.5670627179760004,0.4166666666666667,0.0,10663.0,0.0,0.0,scale_companion_L50
sddb,38,SDDB,holter_analytic,8.031666666666666,0.5,3.5,5.031666666666666,8.031666666666666,74428,36,joint_bivariate_BP_m3,50,0.35,5,1,2.9479779730902775,5.083688693576389,31297,21274,48664,0.549402598054912,0.16666666666666666,0.006554783296603944,18295.0,0.0,0.0,scale_companion_L50
sddb,45,SDDB,holter_analytic,18.154722222222222,8.154722222222222,11.154722222222222,15.154722222222222,18.154722222222222,99135,36,joint_bivariate_BP_m3,50,0.35,5,0,nan,nan,,46676,74680,0.5513636447853556,0.3333333333333333,0.0002501250625312656,11980.0,6.0,0.0005008347245409015,scale_companion_L50
sddb,47,SDDB,holter_analytic,6.216944444444445,0.5,3.5,3.2169444444444446,6.216944444444445,92810,36,joint_bivariate_BP_m3,50,0.35,5,1,2.4377232530381945,3.77922119140625,12918,11966,20832,0.5543864382391295,0.25,0.019830028328611898,10168.0,39.0,0.003835562549173879,scale_companion_L50
sddb,50,SDDB,holter_analytic,11.761944444444444,1.7619444444444436,4.761944444444444,8.761944444444444,11.761944444444444,64251,36,joint_bivariate_BP_m3,50,0.35,5,0,nan,nan,,13421,32307,0.575281803542673,0.3888888888888889,0.0,8103.0,0.0,0.0,scale_companion_L50
sddb,51,SDDB,holter_analytic,22.973055555555554,12.973055555555554,15.973055555555554,19.973055555555554,22.973055555555554,77929,36,joint_bivariate_BP_m3,50,0.35,5,0,nan,nan,,49980,73939,0.5772213910188475,0.3888888888888889,0.0,9281.0,0.0,0.0,scale_companion_L50
sddb,44,SDDB,holter_analytic,19.645833333333332,9.645833333333332,12.645833333333332,16.645833333333332,19.645833333333332,118665,36,joint_bivariate_BP_m3,50,0.35,5,1,6.65070095486111,12.995132378472222,63660,61807,98706,0.3629845325317803,0.1111111111111111,0.5442419688145782,15731.0,425.0,0.02701671858114551,scale_companion_L50
vfdb,418,VFL,too_short,0.1106933339436849,0.0,0.03320800018310547,0.07748533376057942,0.1106933339436849,4291,36,joint_bivariate_BP_m3,50,0.35,5,1,0.07656111187405057,0.03413222206963433,226,220,741,0.43854473942969524,0.3611111111111111,0.0,220.0,40.0,0.18181818181818182,scale_companion_L50
vfdb,419,VFL,too_short,0.011334444681803385,0.0,0.0034003334045410154,0.00793411127726237,0.011334444681803385,3881,36,joint_bivariate_BP_m3,50,0.35,5,1,0.0025177780787150068,0.008816666603088379,53,19,71,0.17171717171717177,0.1388888888888889,0.9565217391304348,19.0,0.0,0.0,scale_companion_L50
vfdb,420,VT,short_15_60min,0.3972644382052951,0.0,0.13242147940176505,0.2648429588035301,0.3972644382052951,2973,36,joint_bivariate_BP_m3,50,0.35,5,0,nan,nan,,543,1599,0.5526287782034908,0.4444444444444444,0.0,543.0,0.0,0.0,scale_companion_L50
vfdb,421,VT,too_short,0.24837554931640626,0.0,0.07451266479492187,0.17386288452148438,0.24837554931640626,4415,36,joint_bivariate_BP_m3,50,0.35,5,0,nan,nan,,479,1590,0.5888888888888888,0.4722222222222222,0.0,479.0,0.0,0.0,scale_companion_L50
vfdb,422,VT,short_15_60min,0.37023444281684026,0.0,0.12341148093894676,0.24682296187789352,0.37023444281684026,3973,36,joint_bivariate_BP_m3,50,0.35,5,1,0.24088222079806856,0.1293522220187717,794,759,2270,0.5579126776907456,0.3611111111111111,0.0,759.0,76.0,0.10013175230566534,scale_companion_L50
vfdb,423,VT,too_short,0.24957222832573786,0.0,0.07487166849772135,0.1747005598280165,0.24957222832573786,2860,36,joint_bivariate_BP_m3,50,0.35,5,0,nan,nan,,328,1105,0.5937604270937604,0.5,0.0,328.0,0.0,0.0,scale_companion_L50
vfdb,424,VFIB,short_15_60min,0.3497211032443576,0.0,0.11657370108145254,0.23314740216290508,0.3497211032443576,3894,36,joint_bivariate_BP_m3,50,0.35,5,0,nan,nan,,909,2682,0.5566140620990505,0.3333333333333333,0.0023094688221709007,909.0,0.0,0.0,scale_companion_L50
vfdb,425,VT,short_15_60min,0.25822555541992187,0.0,0.08607518513997396,0.17215037027994792,0.25822555541992187,2058,36,joint_bivariate_BP_m3,50,0.35,5,0,nan,nan,,242,719,0.5417814508723598,0.4166666666666667,0.0,242.0,0.0,0.0,scale_companion_L50
vfdb,426,VF,too_short,0.179368896484375,0.0,0.0538106689453125,0.1255582275390625,0.179368896484375,3701,36,joint_bivariate_BP_m3,50,0.35,5,0,nan,nan,,217,732,0.6119492337164751,0.5277777777777778,0.0,217.0,0.0,0.0,scale_companion_L50
vfdb,427,VT,too_short,0.18013776991102431,0.0,0.054041330973307294,0.12609643893771702,0.18013776991102431,4241,36,joint_bivariate_BP_m3,50,0.35,5,0,nan,nan,,237,801,0.5807041609510745,0.5,0.0,237.0,0.0,0.0,scale_companion_L50
vfdb,428,VT,short_15_60min,0.4687388780381944,0.0,0.15624629267939813,0.31249258535879626,0.4687388780381944,3272,36,joint_bivariate_BP_m3,50,0.35,5,0,nan,nan,,814,2462,0.5782407407407407,0.4166666666666667,0.0,814.0,0.0,0.0,scale_companion_L50
vfdb,429,VT,too_short,0.11181555853949653,0.0,0.033544667561848956,0.07827089097764757,0.11181555853949653,3609,36,joint_bivariate_BP_m3,50,0.35,5,0,nan,nan,,196,659,0.5750561167227832,0.4722222222222222,0.0,196.0,0.0,0.0,scale_companion_L50
vfdb,430,VT,too_short,0.05766999986436632,0.0,0.017300999959309896,0.04036899990505642,0.05766999986436632,4845,36,joint_bivariate_BP_m3,50,0.35,5,1,0.03367777718438043,0.023992222679985895,155,113,378,0.4491150442477877,0.3055555555555556,0.10619469026548672,113.0,40.0,0.35398230088495575,scale_companion_L50
vfdb,602,VT,too_short,0.134750001695421,0.0,0.0404250005086263,0.0943250011867947,0.134750001695421,2963,36,joint_bivariate_BP_m3,50,0.35,5,0,nan,nan,,179,602,0.5119490999379267,0.3611111111111111,0.0,179.0,0.0,0.0,scale_companion_L50
vfdb,605,VT,short_15_60min,0.45771331787109376,0.0,0.15257110595703124,0.3051422119140625,0.45771331787109376,1881,36,joint_bivariate_BP_m3,50,0.35,5,0,nan,nan,,430,1270,0.577961215932914,0.4722222222222222,0.0,430.0,0.0,0.0,scale_companion_L50
vfdb,607,VT,too_short,0.037178887261284724,0.0,0.011153666178385417,0.026025221082899307,0.037178887261284724,1856,36,joint_bivariate_BP_m3,50,0.35,5,0,nan,nan,,27,99,0.4809027777777778,0.4444444444444444,0.0,27.0,0.0,0.0,scale_companion_L50
vfdb,609,VFL,short_15_60min,0.28363888210720484,0.0,0.09454629403573495,0.1890925880714699,0.28363888210720484,2196,36,joint_bivariate_BP_m3,50,0.35,5,0,nan,nan,,364,1076,0.5734516028633675,0.4722222222222222,0.0,364.0,0.0,0.0,scale_companion_L50
vfdb,610,VT,short_15_60min,0.5109611002604166,0.0,0.1703203667534722,0.3406407335069444,0.5109611002604166,2115,36,joint_bivariate_BP_m3,50,0.35,5,1,0.3277655368381076,0.18319556342230903,672,621,1846,0.5178603482319153,0.3888888888888889,0.0,621.0,0.0,0.0,scale_companion_L50
vfdb,611,VT,short_15_60min,0.3322855631510417,0.0,0.11076185438368057,0.22152370876736113,0.3322855631510417,4121,36,joint_bivariate_BP_m3,50,0.35,5,1,0.06494001600477434,0.26734554714626735,1507,621,1874,0.460482013113592,0.3055555555555556,0.11802232854864433,621.0,0.0,0.0,scale_companion_L50
vfdb,612,VT,short_15_60min,0.4742733425564236,0.0,0.15809111418547453,0.31618222837094906,0.4742733425564236,2456,36,joint_bivariate_BP_m3,50,0.35,5,1,0.015143330891927098,0.4591300116644965,1423,473,1481,0.5371459694989107,0.3055555555555556,0.052941176470588235,473.0,0.0,0.0,scale_companion_L50
vfdb,614,VT,short_15_60min,0.3954910956488715,0.0,0.13183036521629052,0.26366073043258104,0.3954910956488715,3474,36,joint_bivariate_BP_m3,50,0.35,5,1,0.003389994303385435,0.3921011013454861,1566,433,1582,0.5319729553600521,0.3333333333333333,0.016129032258064516,433.0,0.0,0.0,scale_companion_L50
vfdb,615,VT,too_short,0.09078999837239583,0.0,0.02723699951171875,0.06355299886067708,0.09078999837239583,1586,36,joint_bivariate_BP_m3,50,0.35,5,0,nan,nan,,70,237,0.5923317683881067,0.5277777777777778,0.0,70.0,0.0,0.0,scale_companion_L50
