param_key,L,theta_D,theta_R,is_baseline,n_sddb,n_detected_sddb,sens_sddb,n_vfdb,n_detected_vfdb,sens_vfdb,n_all,n_detected_all,sens_all,n_controls,total_episodes,total_search_hours,far_per_24h,fraction_alarmed,delta_sens_all,delta_far_per_24h,sens_all_ratio,far_ratio,class,far_within_slack
L40_D0.30_R4,40,0.3,4,False,11,5,0.45454545454545453,22,5,0.22727272727272727,33,10,0.30303030303030304,18,13.0,179.9978949652778,1.733353604275127,0.3333333333333333,-0.12121212121212122,-2.0000233895482236,0.7142857142857143,0.46428571428571425,lower_sens_lower_far,True
L40_D0.30_R5,40,0.3,5,False,11,5,0.45454545454545453,22,5,0.22727272727272727,33,10,0.30303030303030304,18,12.0,179.9978949652778,1.600018711638579,0.2777777777777778,-0.12121212121212122,-2.133358282184772,0.7142857142857143,0.4285714285714286,lower_sens_lower_far,True
L40_D0.30_R6,40,0.3,6,False,11,5,0.45454545454545453,22,5,0.22727272727272727,33,10,0.30303030303030304,18,10.0,179.9978949652778,1.3333489263654823,0.2777777777777778,-0.12121212121212122,-2.4000280674578685,0.7142857142857143,0.35714285714285715,lower_sens_lower_far,True
L40_D0.35_R4,40,0.35,4,False,11,8,0.7272727272727273,22,10,0.45454545454545453,33,18,0.5454545454545454,18,91.0,179.9978949652778,12.133475229925889,0.8333333333333334,0.12121212121212116,8.400098236102538,1.2857142857142856,3.25,higher_sens_far_worse,False
L40_D0.35_R5,40,0.35,5,False,11,8,0.7272727272727273,22,10,0.45454545454545453,33,18,0.5454545454545454,18,81.0,179.9978949652778,10.800126303560408,0.8333333333333334,0.12121212121212116,7.066749309737057,1.2857142857142856,2.8928571428571432,higher_sens_far_worse,False
L40_D0.35_R6,40,0.35,6,False,11,8,0.7272727272727273,22,10,0.45454545454545453,33,18,0.5454545454545454,18,73.0,179.9978949652778,9.733447162468021,0.7777777777777778,0.12121212121212116,6.000070168644671,1.2857142857142856,2.607142857142857,higher_sens_far_worse,False
L40_D0.40_R4,40,0.4,4,False,11,11,1.0,22,15,0.6818181818181818,33,26,0.7878787878787878,18,231.0,179.9978949652778,30.800360199042643,1.0,0.3636363636363636,27.066983205219294,1.857142857142857,8.25,higher_sens_far_worse,False
L40_D0.40_R5,40,0.4,5,False,11,11,1.0,22,15,0.6818181818181818,33,26,0.7878787878787878,18,223.0,179.9978949652778,29.733681057950253,1.0,0.3636363636363636,26.0003040641269,1.857142857142857,7.9642857142857135,higher_sens_far_worse,False
L40_D0.40_R6,40,0.4,6,False,11,11,1.0,22,15,0.6818181818181818,33,26,0.7878787878787878,18,211.0,179.9978949652778,28.13366234631168,1.0,0.3636363636363636,24.400285352488332,1.857142857142857,7.5357142857142865,higher_sens_far_worse,False
L50_D0.30_R4,50,0.3,4,False,11,4,0.36363636363636365,22,3,0.13636363636363635,33,7,0.21212121212121213,18,1.0,179.9978949652778,0.1333348926365482,0.05555555555555555,-0.21212121212121213,-3.6000421011868022,0.5,0.03571428571428571,lower_sens_lower_far,True
L50_D0.30_R5,50,0.3,5,False,11,4,0.36363636363636365,22,3,0.13636363636363635,33,7,0.21212121212121213,18,0.0,179.9978949652778,0.0,0.0,-0.21212121212121213,-3.7333769938233505,0.5,0.0,lower_sens_lower_far,True
L50_D0.30_R6,50,0.3,6,False,11,3,0.2727272727272727,22,3,0.13636363636363635,33,6,0.18181818181818182,18,0.0,179.9978949652778,0.0,0.0,-0.24242424242424243,-3.7333769938233505,0.42857142857142855,0.0,lower_sens_lower_far,True
L50_D0.35_R4,50,0.35,4,False,11,6,0.5454545454545454,22,8,0.36363636363636365,33,14,0.42424242424242425,18,29.0,179.9978949652778,3.866711886459899,0.3888888888888889,0.0,0.1333348926365483,1.0,1.0357142857142858,same_sens_far_ok,True
L50_D0.35_R5,50,0.35,5,True,11,6,0.5454545454545454,22,8,0.36363636363636365,33,14,0.42424242424242425,18,28.0,179.9978949652778,3.7333769938233505,0.3888888888888889,0.0,0.0,1.0,1.0,baseline,True
